F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45
2424112,226406,159557,8827,230476,756,3707924,1003559,2301747,176000,445802,500261,4.58,6.32,8.64,7.09,6.58,9.09,9.34,10.71,25.97,0.36,62.08,61.09,27.07,43.6,22.36,99.68,138.29,101.96,81.08,172.46,9.46,19.19,5271.04,29.55,0.92,0.7,10.12,24.19,14.99,8.85,-11.47,13.65,4.71
22397489,1812809,2315938,583556,1555724,33457,56469662,13687934,37642719,3203743,2208398,3326222,4.19,5.61,6.21,6.34,10.34,13.84,8.09,12.52,6.31,2.61,66.66,50.01,24.24,36.36,17.68,108.21,143.2,38.55,37.36,100.49,16.44,15.19,583.09,12.53,0.77,0.41,15.18,311.05,17.95,6.41,-3.72,4.68,6.19
2244572,291746,216808,6997,178075,1143,3282275,542621,2330504,152950,431750,520822,6.84,9.42,14.21,9.63,9.66,13.3,13,14.56,43.65,0.31,71,40.84,16.53,23.28,17.65,100.23,123.47,98.43,74.88,393.99,13.61,21.02,6741.72,41.69,1.09,0.71,10.32,18.41,16.55,16.63,-7.17,7.35,7.38
188926,5896,-7907,11831,9477,9477,545968,268166,230924,40000,6157,11694,-1.51,-2.03,1.57,-3.27,-4.19,-5.61,3.12,62.78,0.1,6.26,42.3,136.43,49.12,116.13,50.34,110.96,206.49,59.48,38.59,17.92,0.65,8.2,130.9,5.16,0.5,0.36,19.33,7.13,16.51,0.6,-11.38,8.88,-8.51
188926,5896,-7907,11831,9477,9477,545968,268166,230924,40000,6157,11694,-1.51,-2.03,1.57,-3.27,-4.19,-5.61,3.12,62.78,0.1,6.26,42.3,136.43,49.12,116.13,50.34,110.96,206.49,59.48,38.59,17.92,0.65,8.2,130.9,5.16,0.5,0.36,19.33,7.13,16.51,0.6,-11.38,8.88,-8.51
188926,5896,-7907,11831,9477,9477,545968,268166,230924,40000,6157,11694,-1.51,-2.03,1.57,-3.27,-4.19,-5.61,3.12,62.78,0.1,6.26,42.3,136.43,49.12,116.13,50.34,110.96,206.49,59.48,38.59,17.92,0.65,8.2,130.9,5.16,0.5,0.36,19.33,7.13,16.51,0.6,-11.38,8.88,-8.51
283516,20721,2138,18427,17037,17037,621568,294036,221139,40000,19510,37231,0.34,0.34,3.42,0.97,0.75,0.75,7.31,66.43,1.12,6.5,35.58,181.08,47.31,132.96,87.77,126.32,244.18,42.04,23.72,22.17,7.25,13.34,205.22,6.78,0.47,0.45,8.8,8.24,23.71,6.23,-4.67,-1.79,0.99
201370,14603,7875,3920,16435,686,309681,60531,200425,79381,34100,39610,2.55,3.75,5.01,4.01,3.91,5.76,7.25,18.37,3.96,1.95,64.72,54.51,19.55,30.2,26.4,115.18,147.56,26.33,21.22,111.36,7.7,15.57,799.72,28.31,0.69,0.65,21.11,73.66,26.6,2.31,-12.06,0.56,4.11
262339,13271,-1387,17834,22890,1607,921965,308460,323987,81000,55543,68361,-0.16,-0.03,1.79,-0.42,-0.53,-0.1,5.06,18.67,0.99,6.8,35.14,184.57,33.46,95.21,89.16,138.57,270.78,15.47,14.46,14.9,6.7,13.89,204.28,4.95,0.35,0.3,23.74,15.47,22.09,15.13,-29.73,7.81,-3.32
235673,24877,42066,12177,5593,5360,207181,91552,69364,5387,11323,32617,15,17.68,15.04,33.07,17.85,21.05,10.56,42.94,5.07,5.17,33.48,198.68,44.19,131.99,111.76,62.64,117.09,162.48,112.81,93.88,26.21,13.12,253.94,10.9,1.42,0.84,4.06,6.29,33.97,14.21,52.11,-41.45,-62.51
1250485,18909,-87508,57625,107684,2295,1787751,691341,717852,102709,203510,234295,-4.95,-5.69,1.52,-11.36,-7,-8.03,1.51,10.19,-0.74,4.61,40.15,149.04,38.67,96.31,62.36,111.15,207.49,66.64,34.32,35.24,-3.43,10.17,220.59,11.68,1,0.71,9.22,9.11,8.32,1.92,-82.82,2.47,-12.79
1289908,20769,-151550,58536,114601,3190,1675116,738827,526615,102709,82576,179165,-8.75,-6.25,1.68,-24.36,-11.75,-8.39,1.61,9.02,-1.71,4.54,31.44,218.09,44.11,140.3,112.85,128.15,263.03,48.79,21.7,7.29,-3.86,10.54,232.19,4.84,1.04,0.74,10.72,8.44,6.46,3.15,9.84,-6.3,-26.64
1289908,20769,-151550,58536,114601,3190,1675116,738827,526615,102709,82576,179165,-8.75,-6.25,1.68,-24.36,-11.75,-8.39,1.61,9.02,-1.71,4.54,31.44,218.09,44.11,140.3,112.85,128.15,263.03,48.79,21.7,7.29,-3.86,10.54,232.19,4.84,1.04,0.74,10.72,8.44,6.46,3.15,9.84,-6.3,-26.64
1289908,20769,-151550,58536,114601,3190,1675116,738827,526615,102709,82576,179165,-8.75,-6.25,1.68,-24.36,-11.75,-8.39,1.61,9.02,-1.71,4.54,31.44,218.09,44.11,140.3,112.85,128.15,263.03,48.79,21.7,7.29,-3.86,10.54,232.19,4.84,1.04,0.74,10.72,8.44,6.46,3.15,9.84,-6.3,-26.64
1217756,30307,6649,57017,100538,3808,1589974,760790,512469,102709,38414,93519,0.41,0.32,2.61,1.28,0.55,0.43,2.49,9.72,1.09,4.68,32.23,210.26,47.85,148.46,115.28,129.09,251.7,50.8,25.44,38.91,5.11,10.81,230.79,8.61,1.05,0.75,10.58,7.83,6.43,-5.59,45.92,-5.08,-2.69
1080757,33828,-26244,59199,67215,3260,1537545,781046,479408,102709,60506,125957,-1.68,-1.87,3.09,-5.29,-2.43,-2.71,3.13,11.24,0.51,5.48,31.18,220.72,50.8,162.92,119.17,128.89,259.78,51.14,24.04,25.44,2.77,9.44,172.26,5.62,0.99,0.69,10.1,7.1,6.46,-11.25,11.62,-3.3,-6.45
167444,7397,1952,5643,5280,5262,154596,61281,51329,17377,-9769,-3601,1.25,1.86,5.08,3.84,1.17,1.73,4.42,55.7,1.51,3.37,33.2,201.19,39.64,119.39,147.19,53.82,82.88,148.31,71.67,28.58,5.1,7.59,225.13,8.2,1.15,1.08,4.89,3.14,4.5,-8.28,-60.41,-1.25,1.87
167444,7397,1952,5643,5280,5262,154596,61281,51329,17377,-9769,-3601,1.25,1.86,5.08,3.84,1.17,1.73,4.42,55.7,1.51,3.37,33.2,201.19,39.64,119.39,147.19,53.82,82.88,148.31,71.67,28.58,5.1,7.59,225.13,8.2,1.15,1.08,4.89,3.14,4.5,-8.28,-60.41,-1.25,1.87
167444,7397,1952,5643,5280,5262,154596,61281,51329,17377,-9769,-3601,1.25,1.86,5.08,3.84,1.17,1.73,4.42,55.7,1.51,3.37,33.2,201.19,39.64,119.39,147.19,53.82,82.88,148.31,71.67,28.58,5.1,7.59,225.13,8.2,1.15,1.08,4.89,3.14,4.5,-8.28,-60.41,-1.25,1.87
173098,4798,304,5623,5278,5266,146604,55370,40882,17377,16907,21222,0.2,0.65,3.41,0.66,0.18,0.57,2.77,53.13,1.17,3.25,27.89,258.6,37.77,135.44,178.8,59,106.07,141.23,63.85,32.66,3.82,5.84,179.76,10.8,1.23,1.15,5.46,3.02,4.95,3.38,-35.14,-5.17,-20.35
236488,1452,39107,5144,3326,1091,224000,65220,124077,5300,-27060,-5706,18.52,25.5,0.72,37.36,16.54,22.76,0.61,7.65,11.47,2.17,55.39,80.53,29.12,52.56,47.78,54.66,72.56,225.97,160.42,122.55,24.94,2.02,93.02,-13.02,1.17,1.12,8.16,5.34,15.28,1.05,-71.88,13,45.53
130746,1350,2425,1061,2136,1297,80427,34180,35415,8977,257,809,3.28,4.67,2.31,7.03,1.85,2.64,1.03,21,4.25,0.81,44.03,127.1,42.5,96.51,101.14,78.49,98.87,126.79,73.77,22.54,3.45,2.67,328.64,8.34,2.24,1.77,8.04,6.67,68.01,11.04,-58.05,19.63,5.55
130746,1350,2425,1061,2136,1297,80427,34180,35415,8977,257,809,3.28,4.67,2.31,7.03,1.85,2.64,1.03,21,4.25,0.81,44.03,127.1,42.5,96.51,101.14,78.49,98.87,126.79,73.77,22.54,3.45,2.67,328.64,8.34,2.24,1.77,8.04,6.67,68.01,11.04,-58.05,19.63,5.55
130746,1350,2425,1061,2136,1297,80427,34180,35415,8977,257,809,3.28,4.67,2.31,7.03,1.85,2.64,1.03,21,4.25,0.81,44.03,127.1,42.5,96.51,101.14,78.49,98.87,126.79,73.77,22.54,3.45,2.67,328.64,8.34,2.24,1.77,8.04,6.67,68.01,11.04,-58.05,19.63,5.55
71756,1063,962,2575,544,52,80277,36217,38006,9108,-79,2633,1.24,2.62,1.89,2.6,1.34,2.83,1.48,9.8,1.79,3.59,47.34,111.22,45.11,95.29,83.39,65.84,84.17,152.36,133.52,18.68,6.42,2.24,62.49,-1.4,1.27,0.93,2.7,8.95,47.7,-27.87,-42.61,7.61,5.43
71756,1063,962,2575,544,52,80277,36217,38006,9108,-79,2633,1.24,2.62,1.89,2.6,1.34,2.83,1.48,9.8,1.79,3.59,47.34,111.22,45.11,95.29,83.39,65.84,84.17,152.36,133.52,18.68,6.42,2.24,62.49,-1.4,1.27,0.93,2.7,8.95,47.7,-27.87,-42.61,7.61,5.43
71756,1063,962,2575,544,52,80277,36217,38006,9108,-79,2633,1.24,2.62,1.89,2.6,1.34,2.83,1.48,9.8,1.79,3.59,47.34,111.22,45.11,95.29,83.39,65.84,84.17,152.36,133.52,18.68,6.42,2.24,62.49,-1.4,1.27,0.93,2.7,8.95,47.7,-27.87,-42.61,7.61,5.43
71756,1063,962,2575,544,52,80277,36217,38006,9108,-79,2633,1.24,2.62,1.89,2.6,1.34,2.83,1.48,9.8,1.79,3.59,47.34,111.22,45.11,95.29,83.39,65.84,84.17,152.36,133.52,18.68,6.42,2.24,62.49,-1.4,1.27,0.93,2.7,8.95,47.7,-27.87,-42.61,7.61,5.43
342767,47053,10757,14711,10931,1817,361205,106580,179720,34218,32473,60081,3.03,6.82,17.86,6.35,3.14,7.07,13.73,48.05,2.65,4.29,49.76,100.98,29.51,59.3,55.95,72.58,105.26,171.07,125.49,65.93,11.36,18.05,420.6,28.78,1.3,0.96,3.82,7.4,13.45,10.09,27.51,3.25,13.09
14359329,3058534,1980572,215220,1460698,39799,18406600,3565438,12957997,482403,3524283,4303902,11.11,14.94,24.28,16.31,13.79,18.55,21.3,27.46,13.38,1.5,70.4,42.05,19.37,27.52,19.51,82.37,100.93,210.74,149.06,330.38,20.05,31.47,2099.82,70.97,1.14,0.81,11.02,10.15,35.04,22.43,66.82,6.74,14.45
19792478,5053728,3826016,143766,1447019,44817,21367060,2490216,16109844,482403,4302898,5636607,19.24,26.3,35.49,26.32,19.33,26.43,25.53,30.74,37.41,0.73,75.4,32.63,11.65,15.46,20,75.09,84.58,240.32,174.86,500.39,27.15,32.84,4521.76,101.17,1.39,1,11.6,10.79,45.49,37.84,65.23,16.08,24.32
1357608,91465,48840,19864,47166,1150,1412835,369224,884841,166000,82460,121341,3.47,5.61,7.99,5.62,3.6,5.81,6.74,10.77,4.97,1.46,62.63,59.67,26.13,41.73,36.24,83.18,102.66,157.29,63.41,46.34,7.28,10.43,712.77,23.45,1.19,0.97,7.93,4.69,49.96,15.7,2.51,0.86,3.58
265727,6722,6499,8668,5687,586,273627,146539,94096,18400,-50156,-44030,2.58,2.09,3.41,7.05,2.45,1.98,2.53,7.6,1.61,3.26,34.39,190.79,53.55,155.73,109.86,90.64,163.99,115.42,74.11,25.95,5.24,4.72,144.57,4.38,1.35,1.06,6.38,6.81,11.29,-12.11,-79.34,19.21,4.08
277335,4201,7115,8107,6272,643,299611,140924,111521,34500,30818,33704,2.48,2.25,1.9,6.92,2.57,2.32,1.51,6.32,1.79,2.92,37.22,168.66,47.04,126.37,52.66,66.86,144.42,235.91,175.51,96.4,5.24,3.78,129.37,4.6,1.26,0.97,4.22,7.1,9.35,4.37,-37.5,9.5,18.52
3267423,492950,456235,77100,121225,1693,4072846,1831927,1602058,421186,18312,202855,12.54,17.74,15.93,32.37,13.96,19.75,15.09,19.03,9.37,2.36,39.34,154.23,44.98,114.35,129.87,106.23,132.11,94.03,64.93,41.02,22.11,18.85,798.93,18.13,1.06,0.9,11.74,7.19,12.01,40.63,90.87,27.13,31.64
3035263,252940,189089,71735,126083,3104,3923775,1350682,2112648,421186,298267,366944,4.86,6.87,7.94,9.55,6.23,8.81,8.33,13.67,4.73,2.36,53.84,85.73,34.42,63.93,52.81,78.63,104.51,153.8,101.96,47.13,11.17,12.56,531.51,17.59,0.95,0.78,7.16,5.27,12.62,-8.37,-37.67,1.77,14.49
590513,100199,85362,13833,102887,116,809013,278946,365832,33512,150924,170740,11.49,13.73,14.82,26.06,14.46,17.28,16.97,20.51,8.38,2.34,45.22,121.14,34.48,76.25,71.92,114.18,170.39,70.57,52.48,134.15,19.62,35.2,1502.56,43.19,0.87,0.79,9.71,11.77,84.73,38.26,145.97,19.49,26.51
142749,39480,31038,4322,5194,5194,372539,67500,228872,67100,34881,49145,8.74,11.79,15.46,15.14,21.74,29.34,27.66,78.63,10.69,3.03,61.44,62.77,18.12,29.49,54.93,134.08,144.59,33.1,32.06,58.97,32.37,32.55,1075.25,23.07,0.56,0.4,3.81,90.76,3.41,0.84,4.91,10.28,26.3
142749,39480,31038,4322,5194,5194,372539,67500,228872,67100,34881,49145,8.74,11.79,15.46,15.14,21.74,29.34,27.66,78.63,10.69,3.03,61.44,62.77,18.12,29.49,54.93,134.08,144.59,33.1,32.06,58.97,32.37,32.55,1075.25,23.07,0.56,0.4,3.81,90.76,3.41,0.84,4.91,10.28,26.3
142749,39480,31038,4322,5194,5194,372539,67500,228872,67100,34881,49145,8.74,11.79,15.46,15.14,21.74,29.34,27.66,78.63,10.69,3.03,61.44,62.77,18.12,29.49,54.93,134.08,144.59,33.1,32.06,58.97,32.37,32.55,1075.25,23.07,0.56,0.4,3.81,90.76,3.41,0.84,4.91,10.28,26.3
580034,17991,1265,14925,16159,2997,535689,239219,131550,15947,-4872,11122,0.22,0.88,3.81,1.06,0.22,0.89,3.1,11.9,1.35,2.57,24.56,307.21,44.66,181.85,203.45,113.95,232.19,86.03,40.25,20.91,3.46,6.08,236.42,6.49,1.23,0.99,7.13,5.18,7.3,10.77,25.69,-16.34,22.3
317501,77993,54000,5821,13094,13094,707519,97421,455421,30455,74663,80850,7.72,11.02,11.57,12.52,17.01,24.26,24.56,75.87,14.23,1.83,64.37,55.35,13.77,21.39,47.5,117.73,126.98,59.74,48.83,88.51,26.1,28.93,1577.79,25.99,0.47,0.45,3,23.57,3.68,-34.78,-8.03,2.41,11.84
400329,8100,3340,5757,53512,781,161478,21910,46470,20000,101877,104958,1.18,1.68,3.42,5.69,0.83,1.19,2.02,4.17,1.83,1.44,28.78,247.49,13.57,47.15,207.63,86.11,120.44,109.35,107.78,495.79,2.63,15.55,1081.66,54.95,1.69,1.41,4.08,99.49,5.91,23.31,217.12,-60.12,-34.4
6527730,689126,411702,153070,1034083,1034083,8068028,1767039,4310032,1044181,1534620,1780913,5.06,6.5,9.14,9.69,6.31,8.1,10.56,81.47,4.45,2.34,53.42,87.19,21.9,41,47.05,93.36,130.84,119.76,113.34,229.1,10.44,27.94,1191.69,45.64,0.87,0.8,4.95,38.05,21.81,7.86,-16.45,-1.61,2.94
