F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45
1507748,114649,134469,38701,53996,1475,1626703,616904,719075,142240,49525,123991,8.84,10.82,15.16,21.18,8.92,10.91,7.6,15.89,5.25,2.57,44.2,126.22,37.92,85.79,69.79,112.01,175.22,73.08,31.93,80.36,13.48,11.39,443.9,11.63,1.99,0.99,11.97,9.14,10.39,25.76,46.56,14.93,30.58
1753035,86922,79692,61445,66665,1616,2614578,1392550,772922,142240,68244,159969,3.47,4.91,8.34,9.88,4.55,6.43,4.96,12.05,2.83,3.51,29.56,238.27,53.26,180.17,102.87,118.24,278.35,58.26,27.7,37.95,9.93,9.07,258.84,4,1.68,0.76,9.76,7.79,10.52,2.56,-27.79,32.48,-8.04
2812325,404726,289146,18878,101362,239,2289105,400348,1461596,95827,494678,609733,12.92,17.52,18.68,20.35,10.28,13.95,14.39,18.45,21.78,0.67,63.85,56.62,17.49,27.39,44.2,94.32,106.03,114.44,67.12,152.97,14.62,18.04,2687.84,48.34,1.3,1.26,11.3,10.33,22.14,4.36,-26.45,4.61,5.95
201220,12643,7206,3362,4974,809,170668,45597,99503,11200,6816,11686,4.38,6.12,8.51,7.44,3.58,5,6.28,20,3.99,1.67,58.3,71.52,26.72,45.82,44.61,52.78,66.99,234.31,172.4,63.12,6.67,8.88,531.43,23.53,1.35,1.22,3.39,7.44,13.13,8.42,-17.04,7.83,5.48
220385,11220,7103,3136,4596,932,189380,46591,108862,11200,14240,23498,3.78,6.07,6.62,6.69,3.22,5.18,5.09,19.7,4.64,1.42,57.48,73.96,24.6,42.8,53.83,49.83,59.87,211.97,153.45,50.25,6.6,7.26,509.93,14.36,1.3,1.17,3.21,6.29,12,-1.99,-19.26,1.35,5.2
2200755,62438,70206,93308,37774,1855,2530529,1139522,679988,377190,8945,96150,2.86,2.85,5.42,11.41,3.19,3.18,2.84,7.98,1.75,4.24,26.87,272.14,45.03,167.58,166.39,150.22,309.09,37.9,20.72,30.32,7.42,4.74,111.88,2.06,1.91,0.9,12.23,11.05,6.02,-20.14,167.09,6.42,23.39
6014021,460611,403934,96320,146352,17682,3713646,1296215,1269874,1225412,534405,518151,10.59,11.21,12.93,37.83,6.72,7.11,7.66,13.26,5.44,1.6,34.19,192.44,34.9,102.07,149.1,133.95,192.01,67.36,38.27,79.85,8.71,10.34,645.88,26.79,1.69,1.58,13.54,10.37,9.09,26.85,150.88,-5.15,46.72
268957,17985,14297,26,5646,1041,155514,250,120342,29535,18117,22365,9.47,13.08,12.78,12.39,5.32,7.34,6.69,16.95,758.11,0.01,77.38,29.23,0.16,0.21,24.69,32.01,33.46,387.9,251.49,9394.42,7.35,9.25,95463.49,70.36,1.91,1.78,6.54,6.79,14.38,7.51,-6.18,6.28,8.89
395220,67075,23893,6538,22939,347,699376,157253,387386,36720,58055,87592,3.45,7.27,12.38,6.28,6.05,12.74,16.97,30.75,8.7,1.65,55.39,80.54,22.48,40.59,54.02,119.04,150.6,55.42,42.29,47.74,14.4,22.78,1376.75,26.15,0.73,0.57,5.14,16.52,12.9,-8.42,-42.76,2.08,3.57
1935242,140158,128285,616,35663,3890,2533013,2597,706844,100000,640736,651384,6.33,8.6,8.85,21.89,6.63,9.01,7.24,10.23,284.06,0.03,27.91,258.36,0.1,0.37,239.68,130.09,154.38,85.1,80.03,5151.52,9.04,9.09,28540.09,10.81,1.22,0.95,4.85,26.09,9.54,35.2,7.65,66.62,51.95
1564247,76417,67152,33446,32026,588,1530080,352347,470297,319700,181861,208848,5.8,8.39,8.83,17.64,5.68,8.21,7,12.6,97.17,0.09,33.25,200.78,1.44,4.33,188.7,140.1,157.02,76.18,62.34,10088.53,8.3,10.02,11730.26,10.86,1.26,1.02,5.17,11.03,10.97,21.25,867.4,12.1,14.87
8153500,274512,113857,173972,302853,9900,10604057,1402585,3476095,380000,2449321,2602317,1.12,1.81,3.27,3.51,1.4,2.26,3.37,11.72,2.06,2.13,32.78,205.06,13.23,40.35,171.68,133.2,177.66,74.21,58.66,71.04,4.39,7.55,353.95,9.2,0.97,0.8,3.19,10.31,9.93,0.24,-39.6,8.83,15.51
226739,13995,52169,6757,1095,301,294875,43261,150418,24195,54827,5491,18.69,25.76,6.16,41.54,23.01,31.71,6.17,14.38,11.64,2.98,51.01,96.04,14.67,28.76,75.31,62.26,75.16,160.5,111.42,206.56,34.69,6.65,223.31,51.83,1,0.81,2.25,4.01,5.02,-1.66,-42.57,12.01,49.32
462681,38711,23943,6348,660,272,427454,140565,157463,32949,-53117,-40479,5.79,8.67,10.11,16.32,5.17,7.75,8.37,12.4,6.65,1.37,36.84,171.46,32.88,89.27,144.96,28.95,36.62,162.01,99.73,26.98,9.13,8.51,620.23,11.51,1.21,1.12,4.43,2.97,7.82,38.74,-16.61,6.81,15.8
437891,45454,29240,4908,745,229,448854,142206,182625,32949,26584,39841,6.67,9.36,11.19,17.2,6.68,9.37,10.38,16.9,9.36,1.12,40.69,145.78,31.68,77.87,92.15,21.08,32.38,231.59,145.41,57.89,10.49,10.55,941.25,17.47,1.08,1,2.73,3.05,6.65,-5.36,17.42,5.01,15.98
3328819,232290,218336,12082,35237,2848,3048100,219147,1645492,218500,213756,246204,7.45,10.66,12.45,13.89,6.56,9.38,6.98,13.21,26.84,0.36,53.98,85.24,7.19,13.32,69.47,90.35,104.61,116.08,99.5,165.17,9.74,8.22,2264.39,20.69,1.78,1.14,6.99,19.37,7.82,25.51,81.01,8.44,9.82
1422988,92227,29700,63276,10235,2255,1722006,825736,230129,458689,2094,52086,2.47,2.47,9.2,8.09,2.09,2.09,6.48,13.12,1.47,4.45,13.36,648.28,47.95,358.81,425.75,84.83,273.61,111.49,82.22,34.9,6.53,7.21,162.12,6.39,1.42,1.18,6.19,7.22,7.9,204.76,102.44,152.52,-54.32
